iter	Passed	Remaining
839	7963	1516
840	7970	1506
841	7981	1497
842	7988	1487
843	7997	1478
844	8005	1468
845	8015	1459
846	8022	1449
847	8032	1439
848	8040	1430
849	8050	1420
850	8062	1411
851	8070	1401
852	8080	1392
853	8087	1382
854	8097	1373
855	8105	1363
856	8113	1353
857	8121	1344
858	8129	1334
859	8136	1324
860	8144	1314
861	8151	1304
862	8159	1295
863	8167	1285
864	8175	1275
865	8182	1266
866	8193	1256
867	8201	1247
868	8211	1237
869	8219	1228
870	8226	1218
871	8234	1208
872	8242	1199
873	8249	1189
874	8258	1179
875	8265	1169
876	8274	1160
877	8281	1150
878	8292	1141
879	8300	1131
880	8310	1122
881	8319	1112
882	8327	1103
883	8336	1093
884	8344	1084
885	8353	1074
886	8360	1065
887	8369	1055
888	8376	1045
889	8385	1036
890	8393	1026
891	8403	1017
892	8410	1007
893	8420	998
894	8427	988
895	8436	979
896	8444	969
897	8453	960
898	8460	950
899	8469	941
900	8476	931
901	8485	921
902	8492	912
903	8501	902
904	8508	893
905	8519	883
906	8526	874
907	8535	864
908	8543	855
909	8551	845
910	8558	836
911	8567	826
912	8574	817
913	8583	807
914	8590	798
915	8599	788
916	8606	779
917	8616	769
918	8624	760
919	8633	750
920	8640	741
921	8649	731
922	8656	722
923	8665	712
924	8672	703
925	8681	693
926	8688	684
927	8699	674
928	8708	665
929	8718	656
930	8725	646
931	8734	637
932	8741	627
933	8750	618
934	8757	608
935	8765	599
936	8773	589
937	8781	580
938	8788	570
939	8799	561
940	8811	552
941	8819	543
942	8829	533
943	8836	524
944	8845	514
945	8855	505
946	8863	496
947	8871	486
948	8879	477
949	8887	467
950	8895	458
951	8902	448
952	8911	439
953	8918	430
954	8928	420
955	8935	411
956	8944	401
957	8952	392
958	8961	383
959	8968	373
960	8976	364
961	8984	354
962	8993	345
963	9001	336
964	9011	326
965	9018	317
966	9029	308
967	9036	298
968	9045	289
969	9052	279
970	9061	270
971	9068	261
972	9077	251
973	9084	242
974	9092	233
975	9099	223
976	9109	214
977	9118	205
978	9130	195
979	9140	186
980	9148	177
981	9157	167
982	9164	158
983	9172	149
984	9180	139
985	9189	130
986	9196	121
987	9206	111
988	9213	102
989	9222	93
990	9229	83
991	9240	74
992	9247	65
993	9256	55
994	9263	46
995	9274	37
996	9282	27
997	9290	18
998	9297	9
999	9306	0
